INFO 2020-08-02 02:56:06,946 -  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit) -->97 |_internal 
INFO 2020-08-02 02:56:19,682 - Request : {'ply': 'bot', 'dim': '3,2', 'pp': '1,1', 'tp': '2,1', 'dist': '4'} -->20 |forms 
INFO 2020-08-02 02:56:19,684 - Response : {'player': 'bot', 'no_of_direction': 7, 'angles': [0.0, 63.43494882292201, 33.690067525979785, 146.30993247402023, 326.30993247402023, 243.43494882292202, 213.69006752597977], 'time taken': '0:00:00.001855'} -->222 |forms 
INFO 2020-08-02 02:56:19,687 - 127.0.0.1 - - [02/Aug/2020 02:56:19] "[37mPOST / HTTP/1.1[0m" 200 - -->97 |_internal 
INFO 2020-08-02 02:56:23,674 - Request : {'ply': 'bot', 'dim': '3,2', 'pp': '1,1', 'tp': '2,1', 'dist': '4'} -->20 |forms 
INFO 2020-08-02 02:56:23,675 - Response : {'player': 'bot', 'no_of_direction': 7, 'angles': [0.0, 63.43494882292201, 33.690067525979785, 146.30993247402023, 326.30993247402023, 243.43494882292202, 213.69006752597977], 'time taken': '0:00:00.001336'} -->222 |forms 
INFO 2020-08-02 02:56:23,677 - 127.0.0.1 - - [02/Aug/2020 02:56:23] "[37mPOST / HTTP/1.1[0m" 200 - -->97 |_internal 
INFO 2020-08-02 02:56:34,145 - Request : {'ply': 'bot', 'dim': '3,2', 'pp': '1,1', 'tp': '2,1', 'dist': '4'} -->20 |forms 
INFO 2020-08-02 02:56:34,147 - Response : {'player': 'bot', 'no_of_direction': 7, 'angles': [0.0, 63.43494882292201, 33.690067525979785, 146.30993247402023, 326.30993247402023, 243.43494882292202, 213.69006752597977], 'time taken': '0:00:00.001818'} -->222 |forms 
INFO 2020-08-02 02:56:34,148 - 127.0.0.1 - - [02/Aug/2020 02:56:34] "[37mPOST / HTTP/1.1[0m" 200 - -->97 |_internal 
INFO 2020-08-02 02:56:38,146 - Request : {'ply': 'bot', 'dim': '3,2', 'pp': '1,1', 'tp': '2,1', 'dist': '4'} -->20 |forms 
INFO 2020-08-02 02:56:38,149 - Response : {'player': 'bot', 'no_of_direction': 7, 'angles': [0.0, 63.43494882292201, 33.690067525979785, 146.30993247402023, 326.30993247402023, 243.43494882292202, 213.69006752597977], 'time taken': '0:00:00.001778'} -->222 |forms 
INFO 2020-08-02 02:56:38,152 - 127.0.0.1 - - [02/Aug/2020 02:56:38] "[37mPOST / HTTP/1.1[0m" 200 - -->97 |_internal 
INFO 2020-08-02 03:39:39,876 -  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit) -->97 |_internal 
INFO 2020-08-02 03:39:47,600 - 127.0.0.1 - - [02/Aug/2020 03:39:47] "[1m[31mPOST / HTTP/1.1[0m" 400 - -->97 |_internal 
INFO 2020-08-02 03:40:07,164 - Request : {'ply': 'bot', 'dim': '3,2', 'pp': '1,1', 'tp': '2,1', 'dist': '4'} -->20 |forms 
INFO 2020-08-02 03:40:07,166 - Response : {'player': 'bot', 'no_of_direction': 7, 'angles': [0.0, 63.43494882292201, 33.690067525979785, 146.30993247402023, 326.30993247402023, 243.43494882292202, 213.69006752597977], 'time taken': '0:00:00.001853'} -->222 |forms 
INFO 2020-08-02 03:40:07,168 - 127.0.0.1 - - [02/Aug/2020 03:40:07] "[37mPOST / HTTP/1.1[0m" 200 - -->97 |_internal 
INFO 2020-08-02 11:02:58,501 -  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit) -->97 |_internal 
INFO 2020-08-02 11:03:02,455 - Request : {'ply': 'bot', 'dim': '3,2', 'pp': '1,1', 'tp': '2,1', 'dist': '4'} -->20 |forms 
INFO 2020-08-02 11:03:02,457 - Response : {'player': 'bot', 'no_of_direction': 7, 'angles': [0.0, 63.43494882292201, 33.690067525979785, 146.30993247402023, 326.30993247402023, 243.43494882292202, 213.69006752597977], 'time taken': '0:00:00.001406'} -->222 |forms 
INFO 2020-08-02 11:03:02,459 - 127.0.0.1 - - [02/Aug/2020 11:03:02] "[37mPOST / HTTP/1.1[0m" 200 - -->97 |_internal 
INFO 2020-08-02 11:03:06,845 - Request : {'ply': 'bot', 'dim': '3,2', 'pp': '1,1', 'tp': '2,1', 'dist': '4'} -->20 |forms 
INFO 2020-08-02 11:03:06,847 - Response : {'player': 'bot', 'no_of_direction': 7, 'angles': [0.0, 63.43494882292201, 33.690067525979785, 146.30993247402023, 326.30993247402023, 243.43494882292202, 213.69006752597977], 'time taken': '0:00:00.001700'} -->222 |forms 
INFO 2020-08-02 11:03:06,849 - 127.0.0.1 - - [02/Aug/2020 11:03:06] "[37mPOST / HTTP/1.1[0m" 200 - -->97 |_internal 
INFO 2020-08-02 11:04:13,875 - Request : {'ply': 'bot', 'dim': '3,2', 'pp': '1,1', 'tp': '2,1', 'dist': '4'} -->20 |forms 
INFO 2020-08-02 11:04:13,877 - Response : {'player': 'bot', 'no_of_direction': 7, 'angles': [0.0, 63.43494882292201, 33.690067525979785, 146.30993247402023, 326.30993247402023, 243.43494882292202, 213.69006752597977], 'time taken': '0:00:00.001321'} -->222 |forms 
INFO 2020-08-02 11:04:13,879 - 127.0.0.1 - - [02/Aug/2020 11:04:13] "[37mPOST / HTTP/1.1[0m" 200 - -->97 |_internal 
